TX_ACCESSION	SYMBOL
ENST00000369630.7	TAFA3
ENST00000369630.7	FAM19A3
ENST00000369721.8	ATP5PB
ENST00000369721.8	ATP5F1
ENST00000369739.7	DOPEY1
ENST00000369739.7	DOP1A
ENST00000369754.7	FAM46A
ENST00000369754.7	TENT5A
ENST00000369756.3	FAM46A
ENST00000369756.3	TENT5A
ENST00000369811.5	USMG5
ENST00000369811.5	ATP5MK
ENST00000369813.5	GSTM5
ENST00000369923.4	SARS1
ENST00000369923.4	SARS
ENST00000369929.8	OPN1MW2
ENST00000369929.8	OPN1MW3
ENST00000369936.2	KIAA1324
ENST00000369936.2	ELAPOR1
ENST00000369938.5	KIAA1324
ENST00000369938.5	ELAPOR1
ENST00000370080.7	AMY1B
ENST00000370080.7	AMY1C
ENST00000370083.8	AMY1A
ENST00000370083.8	AMY1C
ENST00000370094.7	MGEA5
ENST00000370094.7	OGA
ENST00000370232.3	HAUS7
ENST00000370232.3	TREX2
ENST00000370404.5	EOLA2
ENST00000370404.5	CXorf40B
ENST00000370409.7	EOLA2
ENST00000370409.7	CXorf40B
ENST00000370434.1	ABCC2
ENST00000370453.5	AC093423.3
ENST00000370453.5	LRRC8D
ENST00000370548.3	AC093155.3
ENST00000370548.3	LINC01140
ENST00000370596.5	DNAI3
ENST00000370596.5	WDR63
ENST00000370649.3	AL355315.1
ENST00000370649.3	PI4K2A
ENST00000370784.8	FAM122C
ENST00000370784.8	PABIR3
ENST00000370785.4	FAM122C
ENST00000370785.4	PABIR3
ENST00000370790.5	FAM122B
ENST00000370790.5	PABIR2
ENST00000370889.2	FPGT-TNNI3K
ENST00000370889.2	TNNI3K
ENST00000371022.3	DNAI4
ENST00000371022.3	WDR78
ENST00000371023.7	DNAI4
ENST00000371023.7	WDR78
ENST00000371402.4	RHOXF2
ENST00000371402.4	RHOXF2B
ENST00000371478.2	SEPT8
ENST00000371478.2	SEPTIN8
ENST00000371493.7	SEPT8
ENST00000371493.7	SEPTIN8
ENST00000371541.5	ZCCHC11
ENST00000371541.5	TUT4
ENST00000371544.7	ZCCHC11
ENST00000371544.7	TUT4
ENST00000371650.9	TMEM189
ENST00000371650.9	PEDS1
ENST00000371656.3	TMEM189
ENST00000371656.3	PEDS1
ENST00000371658.3	TMEM189
ENST00000371658.3	PEDS1
ENST00000371691.5	DIPK1B
ENST00000371691.5	FAM69B
ENST00000371723.4	SDCCAG3
ENST00000371723.4	ENTR1
ENST00000371725.7	SDCCAG3
ENST00000371725.7	ENTR1
ENST00000372011.4	AGAP11
ENST00000372011.4	BMS1P3
ENST00000372092.3	RGR
ENST00000372181.1	PRXL2A
ENST00000372181.1	FAM213A
ENST00000372185.5	PRXL2A
ENST00000372185.5	FAM213A
ENST00000372187.9	PRXL2A
ENST00000372187.9	FAM213A
ENST00000372188.5	PRXL2A
ENST00000372188.5	FAM213A
ENST00000372453.7	PIH1D3
ENST00000372453.7	DNAAF6
ENST00000372544.6	RADX
ENST00000372544.6	CXorf57
